"name","breed","sex","shots","licensed","neutered","birthdate","weight"
"Lera","Majorca Ratter","M",1,1,1,"2018-3-8",15
"Mattie","Parson Russell Terrier","M",1,0,0,"2017-12-15",83
"Crystal","Chesapeake Bay Retriever","M",1,0,1,"2018-3-8",39
"Ramona","Phu Quoc Ridgeback","U",1,1,0,"2017-11-23",134
"Linnie","Bullenbeisser","U",0,0,1,"2018-3-15",23
"Jeromy","Karakachan Dog","U",0,0,0,"2018-1-20",10
"Hellen","Chilean Fox Terrier","F",0,0,1,"2018-5-11",20
"Alberta","Welsh Sheepdog","U",0,0,0,"2017-11-13",11
"Amos","East Siberian Laika","U",1,0,0,"2017-11-27",23
"Keeley","Alopekis","M",1,0,1,"2018-4-15",60
"Matt","Curly-Coated Retriever","U",1,0,1,"2018-1-27",84
"Matilda","Toy Fox Terrier","U",0,1,0,"2018-5-20",106
"Kenyatta","Combai","F",1,1,0,"2018-2-22",85
"Adrian","Finnish Spitz","U",1,0,1,"2018-5-27",110
"Martina","Shetland Sheepdog","F",1,0,0,"2018-3-5",103
"Patricia","Estrela Mountain Dog","F",1,1,1,"2018-4-20",88
"Jimmy","Schweizerischer Niederlaufhund","F",1,0,1,"2018-7-20",89
"Wilber","Cordoba Fighting Dog","F",1,1,1,"2017-12-29",87
"Krystel","Belgian Shepherd Dog (Tervuren)","U",1,1,1,"2018-3-7",49
"Scotty","Icelandic Sheepdog","F",1,0,0,"2017-10-27",142
"Annabell","Australian Kelpie","U",1,1,1,"2017-8-2",127
"Vena","Whippet","F",1,1,0,"2018-5-30",42
"Leland","Miniature American Shepherd","M",1,1,1,"2017-8-26",59
"Amelia","Sealyham Terrier","M",0,1,1,"2018-4-28",128
"Brooks","Tornjak","F",0,0,1,"2018-6-16",28
"Lottie","Porcelaine","F",0,0,1,"2018-3-17",40
"Jordy","German Spaniel","M",1,0,1,"2018-1-15",109
"Lambert","Berger Picard","F",0,1,0,"2017-11-16",5
"Christiana","Blue Heeler","M",1,0,0,"2017-9-21",131
"Favian","English Setter","U",0,0,1,"2018-3-23",119
"Victoria","Bulldog","F",1,1,1,"2018-7-26",77
"Emmitt","Dutch Shepherd","M",1,1,1,"2017-8-7",29
"Gustave","American Bulldog","U",0,1,0,"2018-4-21",79
"Toy","Hygenhund","M",1,0,0,"2018-6-27",51
"Joseph","Giant Schnauzer","M",0,0,0,"2018-4-17",111
"Emmanuel","Japanese Spitz","U",1,0,0,"2018-3-5",85
"Lou","Fila Brasileiro","F",1,0,1,"2018-4-25",20
"Armani","Treeing Cur","U",0,0,1,"2018-4-16",9
"Karson","Russell Terrier","M",1,1,0,"2018-1-9",147
"Jillian","Sabueso Español","M",1,0,0,"2018-4-15",35
"Missouri","Russell Terrier","U",0,1,0,"2018-1-27",20
"Donald","Bavarian Mountain Hound","F",1,0,0,"2017-11-1",150
"Mariela","Sporting Lucas Terrier","M",0,1,1,"2017-12-21",34
"Cathy","Perro de Presa Mallorquin","U",0,1,0,"2017-9-10",115
"Jaylen","Tweed Water Spaniel","U",0,1,1,"2018-4-8",67
"Sterling","Manchester Terrier","M",0,1,0,"2017-9-5",65
"Nat","Vizsla","M",0,0,0,"2018-1-25",135
"Triston","Pug","F",1,1,0,"2018-2-19",115
"Walter","Cane Corso","M",1,0,1,"2017-9-15",110
"Samara","Australian Shepherd","U",0,1,1,"2017-11-11",107
"Hadley","Swedish Lapphund","F",1,1,0,"2017-12-13",85
"Adam","Whippet","F",1,1,0,"2018-3-25",43
"Karli","Paisley Terrier","M",1,0,1,"2018-1-7",61
"Ethan","Valencian Ratter","U",1,1,0,"2018-5-16",112
"Jaren","Patterdale Terrier","M",1,0,1,"2017-11-28",139
"Zella","Sinhala Hound","F",1,1,1,"2018-6-27",120
"Hortense","Black and Tan Coonhound","U",0,1,0,"2018-2-18",49
"Isobel","Blue Paul Terrier","F",1,1,1,"2018-7-8",54
"Dana","Australian Terrier","F",1,1,0,"2018-7-7",148
"Emmett","Carolina Dog","F",0,0,1,"2017-12-13",39
"Herman","Treeing Walker Coonhound","M",1,1,1,"2018-7-23",107
"Manuel","Harrier","U",1,0,1,"2018-2-23",19
"Hertha","Sapsali","U",0,1,0,"2018-7-12",96
"Reanna","American Water Spaniel","U",0,0,0,"2017-8-8",98
"Keegan","Kerry Blue Terrier","F",1,1,1,"2017-8-28",121
"Agustin","Akita","U",1,0,1,"2017-9-1",56
"Marietta","Georgian Shepherd Dog","M",1,1,1,"2018-5-2",92
"Adonis","Tibetan Mastiff","F",1,0,1,"2018-1-18",126
"Elenora","Bluetick Coonhound","F",1,1,0,"2018-4-2",73
"Zion","Miniature American Shepherd","U",0,0,1,"2018-6-12",105
"Jannie","Gran Mastín de Borínquen","F",1,1,0,"2018-4-10",41
"Anderson","Catalan Sheepdog","M",1,1,1,"2018-6-7",36
"Arlene","Small Greek Domestic Dog","F",0,1,1,"2018-5-24",76
"Joel","Papillon","U",1,0,1,"2018-4-6",111
"Annamae","English Springer Spaniel","U",1,0,0,"2018-3-14",133
"Dell","Talbot","M",0,0,1,"2018-7-27",53
"Chyna","Scottish Deerhound","M",1,0,0,"2018-3-24",32
"Chloe","Wirehaired Pointing Griffon","U",0,0,1,"2018-5-13",122
"Janis","Treeing Tennessee Brindle","U",0,0,1,"2017-11-11",88
"Marquise","Newfoundland","U",0,0,1,"2017-8-20",28
"Alexander","Shar Pei","M",1,1,1,"2017-10-3",24
"Miller","Mucuchies","F",1,0,1,"2017-10-27",24
"Alice","Puli","M",0,1,0,"2017-11-28",42
"Filomena","Elo","U",1,0,0,"2018-7-17",83
"Mandy","Bull and Terrier","M",0,1,1,"2017-10-2",135
"Rupert","Belgian Shepherd Dog (Laekenois)","F",0,0,0,"2017-9-14",117
"Mckenna","Gaddi Dog","M",0,1,0,"2017-10-21",27
"Wilma","Puli","F",1,0,1,"2017-10-7",74
"Lelia","Mucuchies","M",1,0,0,"2018-5-6",7
"Carey","Jack Russell Terrier","U",0,0,0,"2017-12-27",55
"Angel","Guatemalan Dogo","M",0,0,0,"2017-10-6",27
"Elna","Guatemalan Dogo","U",1,0,1,"2018-7-27",118
"Alfredo","Cão de Gado Transmontano","F",0,0,1,"2017-8-17",112
"Sydnie","Coton de Tulear","M",0,0,1,"2018-7-4",55
"Lottie","Cesky Terrier","M",0,0,1,"2017-11-27",93
"Ryleigh","Wirehaired Vizsla","U",1,0,0,"2018-2-2",105
"Dessie","Collie, Smooth","U",1,1,0,"2018-6-11",139
"Troy","Jämthund","U",0,0,0,"2017-12-3",61
"Aniya","Old Time Farm Shepherd","M",0,1,1,"2017-9-6",136
"Kirk","Cursinu","F",0,0,0,"2017-11-16",30
"Pat","Olde English Bulldogge","M",1,0,0,"2017-8-9",133
"Christopher","English Water Spaniel","F",1,1,0,"2018-7-17",112
"Stevie","Portuguese Pointer","F",1,0,0,"2017-9-20",34
"Brice","Alopekis","F",0,1,1,"2017-10-13",68
"Jannie","Bleu de Gascogne, Petit","F",0,1,0,"2018-7-5",31
"Camron","Maremma Sheepdog","M",0,0,0,"2017-12-18",138
"Cole","Teddy Roosevelt Terrier","F",1,0,0,"2017-10-27",146
"Julianne","Australian Terrier","M",1,0,0,"2017-9-15",41
"Myles","Šarplaninac","F",1,0,1,"2018-2-11",148
"Camren","Kai Ken","F",1,0,0,"2018-3-4",94
"Dasia","Puli","U",1,0,1,"2017-9-25",101
"Jordyn","Basset Hound","M",1,0,0,"2018-4-9",61
"Domenic","Tibetan Terrier","F",1,0,0,"2017-12-23",52
"David","Istrian Coarse-haired Hound","U",0,1,1,"2017-11-19",55
"Velma","Doberman Pinscher","U",0,1,0,"2018-3-22",137
"Hoyt","Irish Terrier","U",1,0,0,"2017-8-2",12
"Callie","Japanese Spitz","F",1,0,1,"2018-7-11",5
"Westley","Catahoula Leopard Dog","U",0,1,0,"2018-5-28",48
"Shania","Norwegian Buhund","U",1,0,1,"2017-12-19",15
"Brett","Miniature American Shepherd","U",1,0,1,"2017-8-28",49
"Arvel","Old English Terrier","F",0,1,1,"2017-11-12",131
"Beaulah","Braque du Bourbonnais","U",0,0,1,"2017-11-30",62
"Jessika","East Siberian Laika","M",1,1,1,"2017-12-25",127
"Fiona","Pomeranian","M",1,0,1,"2017-9-5",26
"Stanford","German Pinscher","M",1,1,0,"2018-1-7",137
"Adrian","Airedale Terrier","M",0,1,0,"2018-5-3",73
"Zora","Miniature Australian Shepherd","U",1,0,1,"2017-8-1",124
"Bradford","Porcelaine","U",1,0,0,"2018-3-12",126
"Jackie","Old Croatian Sighthound","M",1,0,0,"2018-4-10",54
"Roma","Puli","F",1,1,0,"2018-6-24",94
"Saige","Miniature American Shepherd","U",0,1,1,"2018-6-7",91
"Gwendolyn","Dutch Shepherd","F",1,1,0,"2017-8-2",30
"Kaylee","Podenco Canario","F",0,1,1,"2018-4-21",131
"Micheal","Patterdale Terrier","F",1,0,1,"2017-10-24",74
"Ewald","Cantabrian Water Dog","M",1,1,1,"2018-3-14",5
"Marlon","Galgo Español","U",1,0,0,"2017-11-29",39
"Araceli","Catalan Sheepdog","F",0,1,0,"2017-11-9",66
"Jamal","New Zealand Heading Dog","M",1,0,0,"2017-10-7",131
"Abdul","Keeshond","F",0,0,1,"2017-11-24",94
"Aditya","Serbian Tricolour Hound","U",0,0,1,"2018-6-7",63
"Abe","Sussex Spaniel","F",1,0,1,"2017-8-16",105
"Samara","Caucasian Shepherd Dog","F",1,0,1,"2017-12-18",147
"Cali","Drentse Patrijshond","U",0,1,0,"2018-4-8",128
"Audra","Norwegian Buhund","M",1,0,0,"2018-6-13",61
"Queenie","Old Danish Pointer","M",0,0,0,"2018-5-23",28
"Meaghan","German Spaniel","M",1,1,0,"2018-1-4",38
"Bart","Münsterländer, Large","M",0,1,1,"2018-7-23",113
"Wilbert","Alano Español","F",1,1,1,"2017-9-29",12
"Jaida","Moscow Water Dog","M",0,1,0,"2018-3-30",34
"Ruby","American Eskimo Dog","F",0,0,0,"2017-11-24",74
"Oceane","American Bulldog","U",1,0,1,"2017-11-23",25
"Eula","Grand Anglo-Français Blanc et Noir","U",1,1,0,"2018-3-9",40
"Margret","Norrbottenspets","U",0,1,0,"2018-7-27",142
"Noel","Georgian Shepherd Dog","M",1,0,1,"2018-2-27",139
"Elinor","Swedish Vallhund","M",0,1,0,"2018-4-24",28
"Brayan","Miniature Schnauzer","M",0,0,0,"2018-6-27",138
"Derick","East European Shepherd","U",1,0,1,"2017-11-4",57
"Vivianne","Southern Hound","U",1,0,1,"2017-9-25",83
"Maritza","Drever","U",0,1,1,"2018-6-10",42
"Hattie","Black Mouth Cur","U",1,0,0,"2017-8-9",27
"Kara","Toy Trawler Spaniel","M",0,0,0,"2017-9-4",8
"Adela","Polish Lowland Sheepdog","F",1,0,1,"2018-4-1",46
"Marlon","Japanese Chin","F",0,0,0,"2018-1-20",116
"Kadin","American Water Spaniel","F",1,1,0,"2018-4-23",136
"Beryl","German Shorthaired Pointer","F",0,0,0,"2018-1-5",149
"Lupe","Kumaon Mastiff","F",1,0,1,"2018-3-22",60
"Benton","Manchester Terrier","M",1,1,0,"2017-8-23",22
"Sierra","German Spaniel","M",1,1,1,"2017-11-16",17
"Kayleigh","American Akita","F",1,0,0,"2017-8-14",46
"Cleveland","Saint-Usuge Spaniel","U",0,0,1,"2018-6-25",75
"Frederick","Russo-European Laika","F",0,0,0,"2017-12-17",108
"Addie","Tenterfield Terrier","M",1,0,0,"2017-12-26",143
"Nedra","Weimaraner","M",0,0,1,"2017-11-20",150
"Pete","Blue Picardy Spaniel","M",1,0,1,"2018-6-7",49
"Giovanny","Phu Quoc Ridgeback","F",1,0,1,"2018-7-8",56
"Valentine","Wirehaired Pointing Griffon","M",1,0,0,"2018-3-12",138
"Otilia","Pungsan Dog","M",1,1,0,"2018-3-16",95
"Alexandro","Bosnian Coarse-haired Hound","M",0,0,0,"2017-9-21",69
"Earline","Japanese Spitz","F",0,1,0,"2018-3-27",61
"Sigmund","Old Croatian Sighthound","M",1,1,0,"2018-7-6",133
"Elvera","Japanese Terrier","U",1,1,0,"2017-9-8",7
"Georgette","Scotch Collie","U",0,1,0,"2018-5-29",10
"Waldo","Griffon Bruxellois","U",0,0,1,"2017-8-16",19
"Myles","Trigg Hound","F",1,0,1,"2018-2-17",132
"Nils","Basset Artésien Normand","F",0,0,0,"2017-11-16",140
"Saul","Perro de Presa Mallorquin","U",0,0,1,"2018-7-16",74
"Glenda","American Akita","F",0,1,0,"2018-6-17",57
"Chet","Tahltan Bear Dog","U",0,0,0,"2017-11-13",113
"Maude","Weimaraner","U",1,1,1,"2017-8-14",50
"Dean","Kooikerhondje","F",1,1,1,"2018-2-28",75
"Alexandro","Czechoslovakian Wolfdog","U",1,0,1,"2017-8-17",81
"Zena","Griffon Nivernais","F",1,1,0,"2018-7-13",5
"Kevin","Brazilian Terrier","M",1,0,0,"2018-5-29",123
"Jordon","Olde English Bulldogge","F",0,1,1,"2018-3-10",115
"Madge","Griffon Nivernais","M",0,0,0,"2018-1-21",150
"Nestor","Landseer","U",0,1,0,"2017-8-26",86
"Anika","Japanese Chin","F",1,1,0,"2018-3-16",124
"Nicolas","Boston Terrier","M",1,1,0,"2017-12-27",107
"Grover","Clumber Spaniel","F",0,0,1,"2018-7-19",38
"Tressa","Kerry Blue Terrier","F",0,1,1,"2018-5-14",149
"Floy","Pandikona Hunting Dog","F",1,1,0,"2017-10-21",105
"Whitney","Mahratta Greyhound","U",0,0,0,"2018-6-8",108
"Janelle","Pug","F",1,0,0,"2018-2-2",90
"Zackery","Miniature Shar Pei","M",0,0,1,"2018-2-18",9
"Lucious","Styrian Coarse-haired Hound","U",1,1,1,"2018-4-13",87
"Muriel","Small Greek Domestic Dog","U",1,0,1,"2017-11-22",102
"Kyle","Old English Terrier","U",0,1,1,"2017-10-8",52
"Elinore","Leonberger","U",1,1,1,"2017-10-25",94
"Virgie","Basset Hound","M",0,0,1,"2017-11-5",111
"Jordyn","Spanish Mastiff","F",1,0,0,"2017-9-11",83
"Chester","Magyar agár","U",1,1,1,"2018-5-18",13
"Cora","Seskar Seal Dog","F",0,1,1,"2018-1-12",11
"Mona","Polish Lowland Sheepdog","M",0,0,0,"2018-5-28",81
"Trent","Landseer","M",1,0,0,"2018-4-17",111
"Kody","Barbet","M",0,1,0,"2018-3-8",127
"Leanna","Vanjari Hound","F",1,0,1,"2018-5-12",45
"Glenda","Volpino Italiano","F",1,1,0,"2018-1-14",95
"Fausto","American Akita","F",1,0,1,"2018-6-12",141
"Tristin","Shetland Sheepdog","U",0,1,0,"2018-5-18",47
"Loyce","Caucasian Shepherd Dog","M",1,1,0,"2017-11-25",120
"Jerrold","American Eskimo Dog","M",1,1,1,"2018-2-22",91
"Tamia","Galgo Español","F",0,0,1,"2018-5-18",38
"Matt","Greek Harehound","M",1,1,0,"2017-11-21",118
"Loyce","Tweed Water Spaniel","F",1,0,1,"2018-7-7",97
"Dewayne","Tweed Water Spaniel","F",0,0,0,"2018-3-15",138
"Price","Braque Francais","M",0,1,1,"2017-8-22",41
"Gabriella","Chinese Chongqing Dog","U",1,1,0,"2017-10-12",61
"Logan","Greenland Dog","M",0,1,1,"2017-12-18",143
"Santa","Dogue de Bordeaux","M",0,0,0,"2018-4-21",69
"Harvey","Chinese Crested Dog","M",0,0,1,"2018-2-19",117
"Joshua","Tahltan Bear Dog","U",1,0,1,"2017-10-2",68
"Kali","Dutch Shepherd","F",0,0,0,"2018-2-1",136
"Jaquan","St. John's water dog","U",0,1,0,"2018-1-2",68
"Mckenna","American Bulldog","F",1,0,1,"2017-11-14",116
"Wellington","Artois Hound","U",0,1,0,"2017-9-18",79
"Laurence","Peruvian Hairless Dog","F",1,1,1,"2017-10-11",143
"Giuseppe","Entlebucher Mountain Dog","U",0,0,1,"2018-5-1",41
"Giovanny","Wirehaired Vizsla","M",1,0,0,"2017-8-23",6
"Sadye","Perro de Presa Mallorquin","M",0,1,1,"2017-12-18",61
"Mariela","Bergamasco Shepherd","U",1,1,1,"2017-11-21",6
"Mafalda","Black Norwegian Elkhound","U",0,0,0,"2018-4-12",99
"Felix","Toy Fox Terrier","F",0,0,1,"2017-10-17",98
"Maxwell","Wetterhoun","U",0,0,0,"2018-5-22",148
"Lambert","Gascon Saintongeois","F",0,0,0,"2017-7-30",148
"Myrl","Sealyham Terrier","F",0,0,0,"2018-4-16",19
"Anika","Leonberger","F",1,1,0,"2018-3-11",68
"Darryl","Brittany","U",0,1,1,"2017-12-28",43
"Shawn","Blue Lacy","M",0,1,0,"2017-9-27",112
"Raphael","Shikoku","M",1,0,0,"2018-5-18",118
"Rodrigo","Alaunt","M",0,1,0,"2018-6-10",25
"Aubree","Molossus","U",1,0,1,"2017-12-30",41
"Jammie","Samoyed","U",1,0,0,"2018-2-7",95
"Winnifred","Shiba Inu","M",0,1,0,"2018-7-25",23
"Joanne","Boerboel","U",0,0,1,"2017-12-22",95
"Helene","Norfolk Terrier","M",1,1,1,"2017-12-12",138
"Marta","Chinese Crested Dog","M",0,0,1,"2018-2-18",91
"Roman","Perro de Presa Mallorquin","M",0,0,1,"2017-10-16",79
"Tate","Estonian Hound","U",1,1,1,"2018-2-13",98
"Zoie","Lhasa Apso","U",0,1,0,"2018-4-25",130
"Camron","Burgos Pointer","M",1,0,1,"2017-8-9",47
"Velva","Bleu de Gascogne, Petit","M",0,0,0,"2018-1-2",18
"Arianna","Hare Indian Dog","M",0,0,1,"2018-7-20",13
"Alejandra","Belgian Shepherd Dog (Laekenois)","F",0,1,1,"2017-12-28",36
"Henry","Anglo-Français de Petite Vénerie","M",0,1,0,"2018-2-2",139
"Elinore","Pudelpointer","M",1,1,1,"2018-7-11",55
"Zelda","Borzoi","M",1,0,1,"2018-6-26",58
"Freda","Saarloos Wolfdog","U",1,0,1,"2018-2-13",144
"Alaina","Kromfohrländer","M",1,0,0,"2017-10-17",117
"Izabella","Shiba Inu","F",0,1,0,"2018-4-14",132
"Jonathon","Molossus of Epirus","F",0,1,0,"2018-5-9",130
"Dillan","McNab","M",0,1,0,"2017-10-23",22
"Kira","Beauceron","U",0,0,0,"2018-5-27",77
"Elnora","Soft-Coated Wheaten Terrier","M",1,0,0,"2018-5-2",123
"Bernadette","Andalusian Hound","M",1,1,0,"2018-1-6",51
"Elvie","Great Dane","U",1,0,0,"2018-1-28",63
"Evalyn","Posavac Hound","M",1,1,0,"2018-7-22",30
"Dante","Spanish Water Dog","U",1,1,0,"2017-11-9",26
"Vada","Thai Bangkaew Dog","U",1,1,1,"2017-9-12",129
"Bernie","American Staffordshire Terrier","U",0,1,1,"2017-8-6",107
"Milford","Kuvasz","F",0,1,1,"2018-7-14",24
"Yasmine","Gascon Saintongeois","M",0,0,0,"2017-11-13",59
"Bridie","Polish Tatra Sheepdog","M",1,0,0,"2018-7-20",34
"Barry","Black Mouth Cur","M",0,0,0,"2018-4-5",92
"Austin","Beagle","U",1,1,0,"2017-12-24",137
"Reuben","Peruvian Hairless Dog","U",0,0,1,"2018-3-28",48
"Heaven","Ariegeois","F",1,1,1,"2018-3-19",91
"Aletha","Mountain Cur","U",1,1,0,"2018-1-24",145
"Leland","Drentse Patrijshond","M",1,1,1,"2018-6-20",137
"Joshua","Korean Jindo","F",1,1,0,"2018-4-17",99
"Leatha","Telomian","F",1,1,1,"2017-9-29",71
"Roxane","Welsh Corgi, Cardigan","U",1,0,1,"2018-7-15",107
"Vivien","Teddy Roosevelt Terrier","U",1,1,1,"2018-3-21",90
"Annamae","Treeing Cur","M",1,0,0,"2017-10-16",15
"Brenna","North Country Beagle","F",0,1,0,"2018-4-4",80
"Lelia","Rottweiler","F",0,0,1,"2018-4-10",120
"Eloisa","Chien Français Blanc et Noir","F",1,1,1,"2017-9-11",110
"Andreane","Cirneco dell'Etna","M",0,0,1,"2018-6-11",29
"Monte","Dogo Argentino","U",1,0,1,"2018-3-20",5
"Brionna","Australian Kelpie","U",1,1,0,"2017-12-9",141
"Bradley","Olde English Bulldogge","U",1,1,1,"2017-12-23",65
"Brielle","Mackenzie River Husky","U",1,0,0,"2018-1-11",66
"Ardith","Sealyham Terrier","F",1,1,1,"2017-10-15",12
"Tessie","Anglo-Français de Petite Vénerie","F",0,1,1,"2017-10-14",51
"Darron","Bull Terrier (Miniature)","F",1,1,1,"2017-10-5",22
"Yasmin","Shetland Sheepdog","M",1,0,1,"2017-7-29",136
"Orpha","Miniature Schnauzer","U",0,1,0,"2017-8-8",145
"Judy","Japanese Chin","M",1,1,1,"2018-6-19",145
"Janet","Dandie Dinmont Terrier","M",1,0,0,"2018-5-5",64
"Marcelina","Slovenský Kopov","M",1,1,1,"2018-3-21",97
"Esteban","Cesky Terrier","M",0,1,0,"2018-2-18",137
"Ashleigh","Indian pariah dog","F",1,1,0,"2017-11-5",91
"Jarvis","Hare Indian Dog","M",0,0,0,"2018-7-27",132
"Gilda","Rajapalayam","M",0,1,1,"2017-12-29",95
"Tania","Soft-Coated Wheaten Terrier","M",1,1,0,"2018-5-19",81
"Berry","Border Terrier","M",1,1,1,"2017-9-16",145
"Ewell","Paisley Terrier","U",1,1,0,"2018-2-6",22
"Hermann","Sporting Lucas Terrier","U",0,1,1,"2018-7-5",34
"Ephraim","English Water Spaniel","F",1,1,0,"2017-12-1",114
"Madisen","Mexican Hairless Dog","M",1,1,0,"2017-10-2",8
"Forest","Portuguese Podengo","F",1,0,1,"2017-9-14",128
"Geovanny","Irish Red and White Setter","U",1,0,0,"2017-10-14",43
"Brando","Caucasian Shepherd Dog","F",1,1,1,"2018-6-14",108
"Emmy","Chilean Fox Terrier","M",1,1,1,"2018-5-14",56
"Eda","Korean Jindo","M",1,0,1,"2017-10-31",60
"Lew","Weimaraner","U",1,0,1,"2017-11-15",34
"Kyla","Norfolk Spaniel","M",1,0,0,"2017-12-16",131
"Edgar","Entlebucher Mountain Dog","M",1,1,0,"2018-1-29",91
"Furman","Taigan","F",1,1,1,"2018-5-27",145
"Murphy","Dogo Argentino","U",0,0,0,"2018-3-23",22
"Giovanni","Caucasian Shepherd Dog","F",1,1,1,"2017-10-8",52
"Clarissa","Polish Hunting Dog","M",0,1,0,"2018-7-27",52
"Cayla","Border Collie","F",1,0,0,"2018-1-12",57
"Autumn","American Hairless Terrier","F",0,1,0,"2018-6-29",80
"Christop","Shetland Sheepdog","U",1,0,1,"2018-3-31",74
"Richie","Phalène","M",0,0,1,"2018-7-22",81
"Lura","Slovenský Kopov","M",0,1,1,"2018-5-16",134
"Ally","English Springer Spaniel","U",1,0,0,"2017-12-2",77
"Britney","Schipperke","U",1,1,1,"2017-12-16",150
"Eloise","Australian Terrier","F",0,1,0,"2017-12-31",42
"Curtis","Silken Windhound","M",1,0,0,"2017-7-29",61
"Karson","Sussex Spaniel","U",1,1,0,"2018-1-20",43
"Mavis","Paisley Terrier","U",0,0,1,"2017-9-15",100
"Una","Bouvier des Ardennes","M",0,1,1,"2017-12-3",22
"Maximo","Alaskan Klee Kai","M",1,1,1,"2017-10-22",137
"Paul","Indian Spitz","F",0,1,0,"2017-8-8",70
"Issac","Russian Toy","M",1,1,1,"2017-11-21",9
"Chelsea","Alopekis","M",1,0,1,"2018-7-4",138
"Lonie","Molossus","M",1,0,1,"2017-9-29",148
"Ola","Catahoula Leopard Dog","M",0,1,0,"2017-7-29",62
"Gudrun","Welsh Corgi, Cardigan","U",0,0,0,"2018-7-26",35
"Austen","Cão de Castro Laboreiro","F",1,0,0,"2017-9-9",99
"Schuyler","Irish Red and White Setter","M",0,1,1,"2017-8-5",74
"Price","King Charles Spaniel","F",0,0,0,"2018-1-21",104
"Gussie","English Setter","F",0,1,0,"2017-12-6",58
"Gabrielle","Belgian Shepherd Dog (Malinois)","U",0,0,0,"2017-12-30",96
"Timothy","Tibetan Mastiff","M",1,0,1,"2017-10-25",73
"Sheridan","Tibetan Terrier","M",1,1,0,"2018-5-30",74
"Delmer","Alopekis","U",1,0,1,"2017-10-30",41
"Evert","Miniature Fox Terrier","M",1,1,0,"2018-4-26",51
"Ewald","Dachshund","M",0,0,1,"2017-12-1",111
"Hilma","Tibetan Mastiff","U",1,0,0,"2018-6-14",9
"Sienna","Sakhalin Husky","F",1,1,1,"2018-7-9",52
"Matteo","Valencian Ratter","M",1,0,0,"2017-10-11",122
"Marlen","Blue Picardy Spaniel","U",1,0,1,"2017-10-16",66
"Jan","Australian Shepherd","M",1,1,1,"2018-6-2",110
"Josiane","Taigan","U",1,1,1,"2017-10-13",88
"Sven","Cão da Serra de Aires","F",0,0,1,"2018-2-4",73
"Rosario","Irish Setter","U",1,1,1,"2017-11-16",32
"Vladimir","Sussex Spaniel","U",1,0,0,"2018-4-23",119
"Ervin","American Akita","U",0,1,1,"2018-4-18",33
"Darby","Tibetan Mastiff","F",1,0,0,"2017-8-1",78
"Daron","Drever","U",1,0,1,"2017-11-19",41
"Devyn","Northern Inuit Dog","M",1,1,1,"2018-7-4",132
"Leann","Lapponian Herder","F",1,1,1,"2018-3-11",30
"Makenna","Münsterländer, Small","M",1,0,0,"2018-5-19",127
"Elvera","French Bulldog","U",0,0,0,"2018-2-24",131
"Heath","Beagle-Harrier","M",0,1,0,"2018-2-21",91
"Rickie","Barbet","F",0,1,1,"2018-6-28",41
"Terry","Mucuchies","M",0,1,1,"2017-12-30",16
"Catalina","American Foxhound","F",1,0,0,"2018-1-5",80
"Lorenz","Karakachan Dog","U",1,0,0,"2017-8-4",70
"Irwin","Hortaya Borzaya","U",0,0,0,"2018-5-9",36
