"name","species","sex","neutered","birthdate"
"Brielle","Springbok","F",0,"2018-1-12"
"Rosa","Edible-nest swiftlet","M",1,"2018-7-26"
"Estefania","Garden snail","U",0,"2018-5-8"
"Kayla","Axolotl","U",0,"2017-11-2"
"Domenick","African buffalo","U",0,"2018-3-14"
"Jackson","Green iguana","U",1,"2017-10-24"
"Tobin","Sable","F",0,"2018-7-15"
"Mallie","Golden coin turtle","F",0,"2018-5-22"
"Sam","Glossy ibis","U",1,"2018-4-12"
"Kamille","Domestic canary","M",1,"2018-1-3"
"Brendon","Goldfish","M",0,"2017-10-7"
"Alize","Common eland","M",0,"2017-12-29"
"Vita","Common","F",0,"2017-8-14"
"Erling","Chinese cobra","F",1,"2017-12-10"
"Emmett","Arctic","F",0,"2018-7-15"
"Tevin","Central bearded dragon","U",0,"2017-10-26"
"Della","Eclectus parrot","M",1,"2018-2-20"
"Cheyenne","Yak","M",1,"2018-1-10"
"Grayson","Domesticated red fox","U",1,"2018-5-27"
"Aurore","Domestic skunk","U",1,"2017-9-14"
"Rod","Fringe-eared oryx","F",0,"2017-10-23"
"Lowell","Crab-eating frog","U",1,"2018-7-9"
"Kareem","European bass","F",0,"2017-8-18"
"Otilia","White cockatoo","F",1,"2018-7-8"
"Lance","Mud crab","M",0,"2018-6-18"
"Cathryn","Species and subspecies","F",1,"2017-9-6"
"Vilma","Fallow deer","M",0,"2018-7-1"
"Al","Fuegian exotic","U",0,"2017-9-30"
"Garfield","Guanaco","F",1,"2018-2-16"
"Macey","European eel","F",0,"2018-7-23"
"Skye","Llama","U",0,"2017-10-8"
"Arely","Northern red snapper","F",1,"2017-8-7"
"Montana","Collared peccary","U",1,"2018-6-8"
"Laurine","Ferret","M",0,"2018-3-4"
"Dee","Crab-eating fox","M",1,"2018-6-13"
"Wyatt","Koi","U",0,"2018-4-26"
"Rodrigo","Giant eland ","M",1,"2017-12-24"
"Leanne","Lawson's dragon","F",1,"2018-5-19"
"Eleazar","Dingo","F",0,"2018-2-1"
"Ila","Common periwinkle","F",1,"2018-5-24"
"Bryana","Sable","F",1,"2017-12-10"
"Lindsay","Indian palm squirrel","U",1,"2017-7-29"
"Unique","European eel","F",1,"2018-5-26"
"Pedro","Fuegian exotic","F",1,"2018-6-2"
"Vito","Mopane moth","U",1,"2017-11-27"
"Evalyn","Florida manatee","F",1,"2018-6-16"
"Orland","Dwarf hamsters","M",0,"2018-4-18"
"Horacio","Argentine and Cranwell's horned frogs","U",1,"2018-1-22"
"Bernice","Golden pheasant","U",0,"2017-8-13"
"Tatum","Chinese","U",0,"2017-8-29"
"Cooper","Domestic hedgehog","F",0,"2018-7-15"
"Berta","African buffalo","F",1,"2017-9-11"
"Mattie","Cockatiel","M",0,"2018-6-25"
"Milford","Golden hamster","U",1,"2017-11-16"
"Norene","Carpet python","M",1,"2017-12-5"
"Novella","South American","M",1,"2017-10-29"
"Gerry","Collared peccary","U",1,"2018-1-26"
"Chadrick","African buffalo","M",0,"2018-2-26"
"Odell","Horse","U",1,"2018-3-27"
"Maggie","Common hill myna","F",1,"2017-11-9"
"Kelton","Mopane moth","M",0,"2018-4-23"
"Darryl","Florida manatee","M",1,"2018-5-24"
"Twila","Bubal hartebeest","U",0,"2017-9-22"
"Ronaldo","European mink","M",0,"2018-7-13"
"Helen","North African","F",0,"2017-9-17"
"Marcella","Springbok","U",0,"2018-7-12"
"Seamus","Rose-ringed parakeet","U",1,"2018-2-1"
"Quentin","Spotted hyena","F",1,"2017-8-1"
"Alba","Arabian oryx","F",1,"2017-11-1"
"Jody","Ball python","F",0,"2018-6-4"
"Brionna","European medicinal leech","M",0,"2018-5-3"
"Chandler","Eurasian eagle-owl","F",0,"2017-10-14"
"Sammy","Cockatiel","M",1,"2017-7-31"
"Giovanni","Bald eagle","M",1,"2017-8-24"
"Santiago","Grey partridge","M",1,"2018-4-29"
"Emmalee","Common","U",1,"2018-3-31"
"Damian","Yak","M",0,"2017-8-8"
"Alejandra","Indian peafowl","F",1,"2017-11-12"
"Dave","Golden coin turtle","U",0,"2018-6-9"
"Ora","Horned screamer","M",0,"2017-11-29"
"Earlene","Java sparrow","M",0,"2017-8-17"
"Brennan","White-tailed","F",0,"2018-5-29"
"Evert","Donkey","F",1,"2018-4-28"
"Carrie","Rainbowfish","F",1,"2017-12-28"
"Ward","Chinkara","U",0,"2018-5-29"
"Dolly","South African ostrich","F",0,"2018-5-17"
"Claudia","Green iguana","F",0,"2018-1-18"
"Edwina","Golden eagle","U",0,"2017-10-18"
"Newell","Common vole","U",0,"2018-6-30"
"Tracy","Buff-tailed bumblebee","U",1,"2018-5-12"
"Jayce","African buffalo","F",1,"2018-4-20"
"Laurence","European medicinal leech","F",1,"2017-11-12"
"Helena","Gayal","F",1,"2018-5-24"
"Margarita","Black and Grey francolin","U",0,"2018-7-9"
"Bridgette","African buffalo","M",1,"2018-1-6"
"Bailey","Nilgai","F",0,"2017-9-9"
"Rosa","Chicken","M",0,"2017-11-16"
"Hosea","Emu","F",1,"2018-7-22"
"Freddy","Long-tailed chinchilla","U",0,"2018-4-20"
"Maribel","Common eland","U",1,"2018-4-15"
"Aliya","Cochineal","U",1,"2018-5-19"
"Lilla","Red-eared, yellow-bellied, and Cumberland sliders ","M",0,"2018-4-12"
"Reuben","Bali cattle","M",0,"2017-8-25"
"Oswald","Harris's hawk","U",1,"2017-10-11"
"Arno","White cockatoo","U",0,"2017-7-30"
"Lonzo","Semi-domesticated reindeer","M",1,"2018-1-25"
"Ines","Syrian wild ass","F",0,"2018-1-22"
"Josefa","Horned screamer","U",0,"2018-1-29"
"Claudia","Northern red snapper","U",0,"2017-12-12"
"Greyson","Domestic canary","U",1,"2018-5-12"
"Shirley","Madagascar hissing cockroach","F",0,"2017-11-3"
"Jackie","Green and black poison dart frog","U",1,"2017-12-9"
"Garrick","Dwarf","U",1,"2018-5-27"
"Percival","Dorcas gazelle","U",0,"2017-9-5"
"Orville","Long-tailed chinchilla","M",0,"2018-7-15"
"Devante","Bald eagle","F",1,"2018-4-4"
"Devonte","Siamese fighting fish","F",0,"2017-11-7"
"Estell","Vulturine guineafowl","U",1,"2017-8-29"
"Eudora","Indian gray mongoose","U",0,"2018-4-2"
"Tracey","Argentine and Cranwell's horned frogs","F",0,"2018-2-13"
"Price","Zebra finch","F",1,"2017-9-13"
"Bill","Bald eagle","U",0,"2018-7-11"
"Sylvester","European","M",0,"2018-3-15"
"Demarco","Cockatiel","U",0,"2017-8-7"
"Willa","Ring-tailed cat","U",1,"2018-6-24"
"Tremayne","Red-eared, yellow-bellied, and Cumberland sliders ","U",1,"2018-6-3"
"Blaise","Raccoon exotic","M",0,"2018-4-25"
"Dayton","Wood bison","M",1,"2017-9-12"
"Nayeli","Syrian wild ass","M",0,"2018-4-6"
"Bette","Egyptian goose","F",1,"2018-3-1"
"Braulio","Pig frog","U",1,"2018-5-25"
"Rosetta","Goat","U",1,"2018-3-1"
"Daryl","Common carp","U",0,"2018-3-18"
"Francesco","Domestic duck","M",0,"2017-9-29"
"Heath","Nubian ibex","M",0,"2018-1-9"
"Ashtyn","Budgerigar","F",0,"2018-2-18"
"Lila","Bald eagle","U",0,"2018-4-1"
"Jessyca","House cricket","M",0,"2017-12-25"
"Boris","Crested gecko","F",0,"2017-7-29"
"Kathryn","Siamese fighting fish","U",0,"2017-9-8"
"Elwin","Meerkat","F",0,"2017-10-8"
"Junior","King quail","M",1,"2017-10-10"
"Haven","Japanese","M",1,"2017-10-13"
"Keeley","Domestic muscovy duck","F",0,"2017-9-7"
"Hal","Lesser bamboo rat","F",0,"2017-10-11"
"Veronica","Nubian ibex","U",1,"2018-6-20"
"Emelie","Red-legged","U",1,"2017-10-5"
"Maci","Flathead grey mullet","U",0,"2018-1-18"
"Elton","Alpaca","M",1,"2018-6-22"
"Meta","Major Mitchell's cockatoo","M",1,"2018-4-16"
"Grover","Common degu","M",1,"2018-6-17"
"Jacinto","African giant snail","M",0,"2018-3-6"
"Marisol","Crested gecko","U",0,"2017-12-7"
"Mervin","Tawny owl","U",1,"2018-5-6"
"Jazlyn","Common octopus","F",1,"2017-12-4"
"Harrison","Gemsbok","U",0,"2017-10-26"
"Velva","Pale and lesser gerbils","F",0,"2017-12-27"
"Clarabelle","Siamese fighting fish","F",0,"2018-4-1"
"Nat","Norway lemming","M",1,"2017-9-26"
"Al","Scimitar oryx","F",0,"2017-9-18"
"Garfield","Harlequin","F",1,"2017-10-13"
"Mariah","Diamond dove","F",0,"2018-6-12"
"Michale","Harlequin","M",1,"2017-12-23"
"General","Red deer","F",1,"2017-8-29"
"Leo","Gambian pouched rat","M",0,"2018-3-1"
"Colleen","Common hill myna","U",0,"2017-8-20"
"Jace","Greater","F",1,"2018-5-28"
"Winfield","Domestic rabbit","F",1,"2018-1-27"
"Sophie","Kissing gourami","U",0,"2018-7-28"
"Tyson","Red deer","M",1,"2018-3-5"
"Brandyn","Red-tailed black cockatoo","F",1,"2018-1-26"
"Enrico","Palm cockatoo","U",1,"2018-3-27"
"Madonna","Japanese","M",0,"2017-9-12"
"Estrella","European eel","M",0,"2017-7-28"
"Gennaro","Dorcas gazelle","M",0,"2018-5-13"
"Krystel","Leopard cat","F",0,"2018-6-22"
"Julia","Indian palm squirrel","M",1,"2018-6-21"
"Mauricio","Arctic","F",0,"2018-2-12"
"Trinity","Crab-eating frog","F",0,"2017-9-16"
"Mathias","Mountain quail","F",0,"2017-8-10"
"Abner","Common vole","F",1,"2017-12-7"
"Darryl","Java sparrow","F",0,"2018-6-18"
"Rubye","Domesticated red fox","M",0,"2017-11-6"
"Darrick","Southern","M",1,"2017-8-13"
"Adelbert","Eurasian lynx","M",1,"2018-6-20"
"Royal","Green chromide","F",1,"2018-1-20"
"Elvie","Pig frog","M",0,"2017-8-19"
"Oswald","Domestic pig","U",1,"2018-3-18"
"Lizeth","Gemsbok","M",0,"2018-4-12"
"Kacey","Lesser bamboo rat","F",1,"2017-10-26"
"Owen","Mongolian gerbil","F",1,"2017-12-14"
"Amara","Domesticated red fox","M",1,"2018-5-13"
"Frederik","Southern","F",0,"2018-3-28"
"Kiarra","Golden coin turtle","U",0,"2018-2-19"
"Antonia","Garden snail","U",1,"2018-2-1"
"Shania","Crab-eating fox","M",1,"2018-1-20"
"Sunny","Java sparrow","U",0,"2018-2-5"
"Devin","Collared peccary","M",1,"2018-6-11"
"Ronaldo","Coypu","U",0,"2017-12-26"
"Jakob","Goat","M",1,"2017-9-30"
"Dalton","Tiger quoll","F",1,"2017-11-1"
"Irving","Indian gray mongoose","U",1,"2018-5-19"
"Bruce","Fancy mouse and laboratory mouse","U",0,"2017-11-21"
"Karelle","Domestic guinea pig","F",1,"2017-10-31"
"Virginia","Axolotl","U",0,"2017-10-1"
"Myles","Chinese hamster","U",0,"2017-10-9"
"Otis","Siberian weasel","M",0,"2018-7-20"
"Domingo","Domestic guinea pig","U",1,"2018-6-19"
"Alverta","Waxworm","M",1,"2018-1-12"
"Elyssa","Japanese horseshoe crab","U",1,"2017-8-5"
"Justus","Budgerigar","U",0,"2018-6-20"
"Nico","Red-tailed black cockatoo","U",0,"2018-6-20"
"Thora","Meerkat","F",1,"2017-12-1"
"Jeanette","European","F",0,"2018-3-22"
"Zena","Guanaco","M",1,"2017-11-15"
"Aditya","Black-legged seriema","M",1,"2018-4-28"
"Henriette","Common snapping turtle","F",0,"2018-4-28"
"Terrence","European eel","M",0,"2017-10-24"
"Katrine","Domestic skunk","U",0,"2017-11-22"
"Henderson","Ring-tailed cat","F",1,"2017-9-3"
"Elisha","Black soldier fly","M",0,"2017-11-4"
"Arden","Steppe lemming","F",0,"2018-5-11"
"Pinkie","Crucian carp","F",0,"2018-5-16"
"Terrill","Southern","M",0,"2017-7-31"
"Raven","Alpaca","U",0,"2017-11-30"
"Brooklyn","Red flour beetle","F",1,"2017-12-2"
"Pascale","Western spotted skunk","U",0,"2018-4-14"
"Xander","Salmon-crested cockatoo","U",1,"2017-9-1"
"Roy","Scimitar oryx","M",0,"2017-10-21"
"Jasmin","Ring-tailed cat","U",1,"2018-3-4"
"Andreane","Red flour beetle","F",1,"2018-4-24"
"Joana","Red-eared, yellow-bellied, and Cumberland sliders ","M",1,"2018-1-5"
"Lysanne","Red flour beetle","M",0,"2017-11-12"
"Angelina","Capybara","M",1,"2018-5-29"
"Tyrell","Scimitar oryx","M",0,"2017-11-15"
"Gordon","Goldfish","M",0,"2018-3-25"
"Franz","Norway lemming","F",1,"2018-3-15"
"Jaeden","Steppe lemming","M",1,"2017-10-17"
"Morris","Guppy","U",1,"2017-12-22"
"Jessica","Northeastern","U",1,"2018-7-10"
"Roxanne","White-necked","M",1,"2018-2-6"
"Adelia","Pekin robin","F",1,"2018-7-28"
"Amalia","Beech marten","M",0,"2017-12-9"
"Brycen","Domestic pigeon","U",0,"2018-5-15"
"Ocie","Wood duck","U",1,"2017-11-27"
"Dallas","Black-legged seriema","U",1,"2017-9-16"
"Collin","Crab-eating fox","U",1,"2017-10-23"
"Edythe","Lowland","M",0,"2017-9-29"
"Kris","Domestic silkmoth","U",1,"2018-7-1"
"Cody","Vicuña","U",0,"2018-2-26"
"Chandler","Golden pheasant","U",0,"2017-9-19"
"Saul","Domestic mink","U",0,"2017-11-22"
"Rhoda","Species and subspecies","U",1,"2017-8-31"
"Mattie","Common periwinkle","U",1,"2017-9-7"
"Heather","Lowland","U",0,"2017-8-19"
"Concepcion","Gambian pouched rat","M",1,"2018-1-28"
"Agnes","Rainbowfish","M",1,"2017-9-6"
"Kody","Fishing","F",1,"2018-6-29"
"Mavis","Atlantic horseshoe crab","M",0,"2017-11-2"
"Sophie","Arabian oryx","M",0,"2017-12-9"
"Casimir","Springbok","U",0,"2018-1-12"
"Ashtyn","Red-legged","U",1,"2017-11-4"
"Beau","Bali cattle","F",1,"2017-12-11"
"Irving","Harris's hawk","F",1,"2017-12-29"
"Devon","Greater cane rat","M",1,"2017-8-4"
"Elmira","Vulturine guineafowl","F",0,"2017-8-14"
"Chet","Red-tailed black cockatoo","F",0,"2018-7-21"
"Tatum","Striped hyena","U",1,"2018-6-27"
"Liana","Green iguana","F",1,"2018-6-8"
"Hector","Siberian weasel","M",1,"2018-7-28"
"Oma","Common degu","M",0,"2017-12-8"
"Jannie","Fancy mouse and laboratory mouse","M",1,"2017-8-4"
"Stefan","Common carp","M",1,"2018-4-21"
"Coralie","Yellow-crested & Citron-crested cockatoos","M",0,"2018-1-6"
"Adriana","Cobia","F",0,"2018-3-21"
"Leon","Chicken","F",0,"2018-6-20"
"Braden","Diamond dove","M",0,"2017-9-10"
"Blanche","Japanese horseshoe crab","F",0,"2017-9-11"
"Samara","European mink","U",1,"2017-10-17"
"Annalise","South American","U",0,"2017-11-2"
"Jabari","European bass","M",0,"2018-1-12"
"Richmond","Indian gray mongoose","F",1,"2018-3-20"
"Mazie","Scaled","M",0,"2018-7-10"
"Gracie","Southern white rhinoceros","M",1,"2017-11-21"
"Dina","Serval","U",1,"2018-2-9"
"Malcolm","Society finch","U",0,"2018-3-20"
"Eleanore","Dromedary camel","U",0,"2018-7-18"
"Benton","Western spotted skunk","M",0,"2018-3-16"
"Diamond","Lowland","U",1,"2018-1-1"
"Maurice","Rainbow trout","U",0,"2017-9-13"
"Kimberly","Common octopus","U",1,"2018-3-23"
"Brennon","Spotted hyena","U",1,"2018-2-8"
"Ed","Cattle","M",0,"2017-12-3"
"Bernadine","Green tree python","M",1,"2018-7-17"
"Buddy","Montezuma quail","M",0,"2018-7-25"
"Naomie","Green iguana","M",1,"2018-4-28"
"Gilberto","Arabian oryx","M",1,"2018-1-18"
"Margarette","White-necked","U",0,"2017-8-22"
"Carleton","Scaled","U",0,"2018-5-17"
"Geovanni","Desmarest's hutia","F",1,"2017-11-29"
"Tobin","Garden snail","U",1,"2017-8-19"
"Robb","Yak","M",1,"2017-11-17"
"Loy","European medicinal leech","F",1,"2017-11-1"
"Keely","Domestic turkey","M",1,"2017-9-8"
"Shanna","Malabar","U",1,"2018-5-14"
"Sylvester","Caracal","U",1,"2017-9-14"
"Louisa","Green iguana","F",0,"2018-5-3"
"Bryana","Red flour beetle","F",1,"2017-11-13"
"Miller","Yak","U",1,"2018-5-19"
"Lacy","Zebra finch","M",1,"2017-11-22"
"Evalyn","Leopard cat","M",1,"2017-8-22"
"Onie","Common","F",0,"2017-9-5"
"Jamir","Eastern bearded dragon","M",1,"2018-7-4"
"Edmond","Lesser bamboo rat","U",0,"2018-7-27"
"Alvena","Bat-eared fox","F",0,"2018-6-24"
"Bria","Himalayan monal","F",0,"2017-12-12"
"Virginie","Barramundi","M",1,"2018-5-15"
"Berneice","Diamond dove","F",1,"2018-4-16"
"Dejah","Kalij","F",1,"2018-7-14"
"Danny","Sheep","U",0,"2018-6-9"
"Talon","Bubal hartebeest","F",1,"2017-12-30"
"Emma","Pin-tailed parrotfinch","U",1,"2017-11-23"
"Delphia","Nile","M",0,"2018-6-21"
"Kaley","Dingo","F",0,"2018-5-27"
"Sadie","Indian gray mongoose","U",1,"2018-2-5"
"Domenick","Common","M",1,"2018-6-9"
"Peter","American","F",1,"2018-5-11"
"Kirsten","Lesser bamboo rat","U",1,"2017-8-9"
"Bernadette","Garden snail","F",0,"2018-3-3"
"Rashawn","Donkey","F",1,"2018-4-24"
"Gardner","Japanese","U",1,"2018-1-24"
"Cristopher","Rainbowfish","F",1,"2018-5-13"
"Lester","Llama","M",0,"2017-11-27"
"Gwendolyn","Red-necked wallaby","U",1,"2018-6-14"
"Green","Crab-eating fox","M",0,"2017-12-17"
"Skylar","Major Mitchell's cockatoo","F",0,"2018-3-14"
"Hilda","Ring-tailed cat","U",1,"2017-9-26"
"Verona","Pacific hagfish","M",1,"2018-2-15"
"Isidro","Harris's hawk","M",0,"2017-9-17"
"Cameron","Gambian pouched rat","M",1,"2018-4-17"
"Petra","Greater","U",0,"2018-1-11"
"Jarrod","Kalij","F",1,"2017-8-19"
"Cleveland","Blackbuck","F",1,"2018-5-10"
"Jennifer","Golden hamster","U",1,"2018-2-22"
"Josianne","Ferret","F",1,"2018-2-11"
"Hassie","Black rhinoceros","U",1,"2018-7-13"
"Joshua","Semi-domesticated reindeer","M",1,"2018-5-25"
"Lavonne","Northern goshawk","F",0,"2018-1-10"
"Adolphus","Red-legged seriema","M",0,"2017-11-25"
"Orion","Fuegian exotic","F",1,"2017-10-3"
"Marcia","Japanese and great cormorants","F",0,"2017-11-24"
"Zelda","Barramundi","F",1,"2017-9-9"
"Donnie","Gayal","F",0,"2018-6-23"
"Ezequiel","Fishing","F",1,"2018-4-17"
"Edwardo","Chicken","F",0,"2018-5-9"
"Gregory","Desmarest's hutia","F",0,"2017-7-29"
"Vaughn","Yellow-bellied glider","M",0,"2017-10-24"
"Mertie","American bison","F",1,"2018-3-28"
"Helmer","Common","U",0,"2017-11-10"
"Geovanni","Madagascar hissing cockroach","F",1,"2018-1-18"
"Creola","Red","U",1,"2018-7-20"
"Nakia","Coypu","M",0,"2018-7-22"
"Aida","Ferret","M",1,"2018-1-2"
"Clyde","Australian green tree frog","U",1,"2018-6-24"
"Christop","Domestic pigeon","F",1,"2018-2-14"
"Murray","Somali ostrich","M",1,"2017-11-29"
"Norma","Muskox","U",0,"2017-8-31"
"Tressie","Fuegian exotic","U",1,"2018-1-20"
"Samanta","Nile","M",0,"2018-4-25"
"Roel","King quail","F",1,"2017-8-6"
"Monte","Greater rhea","U",1,"2017-11-4"
"Erick","Piranha","F",1,"2017-8-23"
"Rod","Chinese hamster","U",0,"2018-5-28"
"Nedra","Donkey","M",0,"2017-8-18"
"Robin","Lesser bamboo rat","U",1,"2018-4-24"
"Rocky","Malabar","F",1,"2017-9-9"
"Christine","Southern","M",1,"2017-9-13"
"Hayden","Lawson's dragon","F",1,"2018-7-5"
"Ricardo","Pekin robin","F",0,"2018-7-18"
"Barton","Guanaco","U",0,"2018-2-4"
"Casey","Raccoon exotic","F",0,"2017-10-10"
"Gaston","Cattle","F",0,"2017-12-14"
"Kira","Dwarf hamsters","F",0,"2018-7-1"
"Melyssa","Northeastern","F",1,"2018-7-22"
"Jennyfer","Thorold's deer","U",1,"2017-8-15"
"Braden","Yellowtail snapper","U",1,"2017-12-10"
"Lionel","Wood duck","F",0,"2018-3-30"
"Baylee","Domestic canary","M",1,"2018-1-20"
"Lue","Buff-tailed bumblebee","U",0,"2017-10-28"
"Dahlia","Roman snail","F",0,"2018-5-2"
"Kaylie","Eurasian eagle-owl","U",1,"2018-4-8"
"Iva","Short-tailed chinchilla","M",1,"2018-3-7"
"Joannie","Japanese","M",1,"2017-12-27"
"Alexis","Red-tailed black cockatoo","F",1,"2017-9-7"
"Kiana","Domestic muscovy duck","M",0,"2017-12-8"
"Faye","Leopard cat","M",0,"2017-10-22"
"Jovany","Crab-eating frog","M",1,"2018-1-13"
"Roman","Cochineal","M",1,"2018-6-28"
"Elissa","Smooth-coated otter","F",1,"2018-1-3"
"Koby","Waxworm","F",1,"2018-5-25"
"Elias","Southern","F",0,"2018-5-31"
"Virgie","Yellowtail snapper","M",0,"2018-6-6"
"August","Nile","M",0,"2017-7-30"
"Erling","Domestic pigeon","F",1,"2017-11-20"
"Lazaro","Ball python","F",0,"2018-2-17"
"Retta","Carpet python","U",1,"2017-8-16"
"Jedidiah","Cattle","F",1,"2018-2-10"
"Else","Somali ostrich","F",1,"2018-6-1"
"Drew","Norway lemming","U",1,"2018-2-23"
"Paula","Domestic turkey","M",1,"2018-1-25"
"Randall","Southern bluefin","U",1,"2017-9-21"
"Verlie","Vicuña","U",1,"2018-4-25"
"Vernie","Chinese edible frog","U",0,"2018-7-19"
"Brock","Wood bison","F",0,"2018-3-22"
"Eudora","Goldfish","U",1,"2017-11-18"
"Cleve","South African giraffe","F",0,"2017-11-3"
"Dulce","Leopard cat","F",0,"2018-6-7"
"Rylan","Dorcas gazelle","F",1,"2018-2-25"
"Adella","South African giraffe","U",0,"2018-1-7"
"Makenzie","Arabian ostrich","M",0,"2018-3-10"
"Rick","Sea-monkey","U",0,"2018-3-31"
"Anahi","Domestic guinea pig","U",0,"2017-9-24"
"Keon","Syrian wild ass","F",0,"2018-2-28"
"Mable","Common hill myna","M",1,"2018-3-31"
"Cornelius","Small-billed tinamou","M",1,"2018-7-27"
"Richie","Egyptian goose","M",0,"2017-9-12"
"Alanis","Atlantic Salmon","U",1,"2018-5-10"
"Annabel","White cockatoo","M",0,"2017-9-12"
"Fermin","Red-tailed black cockatoo","M",0,"2017-9-7"
"Dewitt","Red flour beetle","U",1,"2017-9-15"
"Bria","Mealworm and Superworm","F",0,"2018-1-23"
"Green","American cockroach","F",1,"2017-9-28"
"Abagail","Crimson finch","M",0,"2018-4-29"
"Ursula","Atlantic Salmon","M",0,"2017-7-31"
"Henry","Barramundi","M",1,"2017-11-21"
"Hilma","Donkey","M",1,"2018-4-3"
"Ivy","Indian gray mongoose","U",1,"2018-6-17"
"May","European eel","U",0,"2017-10-3"
"Randal","Vicuña","F",1,"2017-12-9"
"Fatima","Society finch","U",1,"2018-7-15"
"Lavern","South American","F",1,"2018-1-28"
"Cole","Vicuña","U",1,"2017-9-19"
"Elfrieda","Emu","M",0,"2017-12-1"
"Kyle","Bubal hartebeest","U",0,"2018-4-5"
"Tierra","Rainbowfish","U",0,"2017-10-5"
"Mikel","Black and Grey francolin","F",0,"2018-2-19"
"Dee","Mopane moth","U",0,"2018-7-1"
"Liam","Nilgai","U",1,"2017-10-23"
"Neva","Sugarbag bee","U",0,"2017-9-6"
"Leo","Indian palm squirrel","F",1,"2018-6-26"
"Sidney","Red-legged","M",0,"2018-4-7"
"Tiara","Tawny owl","F",0,"2017-10-28"
"Rossie","Scaled","M",1,"2018-5-25"
"Dahlia","Japanese and great cormorants","M",1,"2017-11-5"
"Tessie","Whooper swan","U",1,"2017-10-8"
"Torrey","House cricket","F",0,"2017-9-4"
"Taurean","Raccoon exotic","M",0,"2018-1-25"
"Gaston","Southern white rhinoceros","U",1,"2017-10-17"
"Margarett","Japanese","M",0,"2017-10-22"
"Caleigh","North African","U",1,"2017-12-5"
"Abigale","Egyptian mongoose","M",1,"2018-6-10"
"Amalia","Society finch","M",0,"2018-7-20"
"Zelda","Chinese","U",0,"2018-3-1"
"Kiara","Common degu","M",0,"2018-3-30"
"Marquise","Dwarf","F",0,"2017-8-13"
"Frederik","Short-tailed chinchilla","F",0,"2017-11-16"
"Forest","Southern bluefin","U",1,"2017-9-1"
"Zander","Egyptian goose","U",0,"2017-8-18"
"Salvatore","Siamese fighting fish","U",0,"2018-7-11"
"Laron","Flathead grey mullet","U",0,"2018-3-18"
"Nigel","Buff-tailed bumblebee","M",0,"2018-2-6"
"Jaycee","Central bearded dragon","U",0,"2017-10-23"
"Edna","Dorcas gazelle","F",1,"2018-1-31"
"Einar","Cockatiel","F",0,"2017-10-30"
"Priscilla","King quail","M",0,"2018-3-21"
"Jamison","Steppe lemming","U",1,"2017-8-11"
"Kayla","Major Mitchell's cockatoo","M",1,"2018-4-17"
"Natasha","Raccoon exotic","U",1,"2018-5-16"
"Johnathan","Lesser bamboo rat","F",0,"2017-9-23"
