"name","breed","sex","shots","declawed","neutered","birthdate"
"Jaycee","Pixie-bob","U",0,0,1,"2017-8-11"
"Turner","Australian Mist","F",1,1,0,"2018-7-22"
"Johnson","Ukrainian Levkoy","F",1,1,1,"2017-10-9"
"Jed","Russian Blue","U",0,1,1,"2018-3-25"
"Cristina","Toyger","F",0,0,0,"2018-2-13"
"Alvis","Persian (modern)","F",1,0,1,"2018-5-9"
"Khalil","Brazilian Shorthair","M",1,0,0,"2017-11-12"
"Melyna","Serengeti","M",1,1,0,"2017-12-26"
"Raoul","Ocicat","F",1,1,1,"2018-5-24"
"Guiseppe","Dwelf","M",0,1,1,"2018-1-3"
"Mable","Scottish Fold","M",1,1,1,"2017-8-22"
"Margarete","Cyprus","F",0,1,1,"2018-2-22"
"Brandt","Donskoy","M",0,0,0,"2017-9-27"
"Shad","Savannah","U",1,1,0,"2018-5-13"
"Wilford","Korat","M",0,0,1,"2017-10-5"
"Janelle","Toyger","U",0,1,0,"2018-2-20"
"Asha","Somali","U",1,1,1,"2017-8-6"
"Imelda","Singapura","F",1,0,0,"2017-9-7"
"Ocie","Chantilly-Tiffany","M",1,1,1,"2018-3-15"
"Malachi","Persian (traditional)","M",0,1,0,"2018-1-22"
"Pietro","British Longhair","U",0,0,0,"2018-5-22"
"Jed","Havana Brown","F",0,0,1,"2018-4-5"
"Myrtice","Dwelf","F",1,1,0,"2018-5-17"
"Kenya","Oriental Bicolor","M",0,0,1,"2018-2-12"
"Katheryn","British Shorthair","U",1,0,1,"2018-6-6"
"Orville","Asian Semi-longhair","F",0,1,1,"2017-11-30"
"Eulah","Sokoke","F",1,1,0,"2017-12-10"
"Viva","Scottish Fold","U",0,1,1,"2017-10-29"
"Emelie","California Spangled","F",1,0,1,"2017-10-7"
"Bruce","Thai Lilac","M",0,0,1,"2018-6-5"
"Bart","Somali","U",1,0,0,"2018-4-4"
"Hilbert","American Shorthair","M",0,1,0,"2017-9-23"
"Woodrow","Napoleon","F",0,0,1,"2018-3-13"
"Madison","Thai Lilac","M",1,0,1,"2018-4-27"
"Abner","California Spangled","M",1,0,1,"2018-7-27"
"Lester","Himalayan","M",1,0,1,"2018-1-6"
"Ressie","Sam Sawet","M",1,0,0,"2018-7-1"
"Domenic","Ojos Azules","U",1,0,0,"2018-1-18"
"Otho","Toyger","M",1,0,1,"2017-9-11"
"Cyril","British Semi-longhair","F",1,0,0,"2018-6-27"
"Freddie","Kurilian Bobtail","U",0,1,0,"2017-10-27"
"Alisha","Karelian Bobtail","F",1,0,0,"2018-4-29"
"Tyson","Munchkin","U",0,1,0,"2018-6-14"
"Delmer","Scottish Fold","M",0,1,1,"2018-4-4"
"Eileen","Oriental Shorthair","F",0,0,1,"2018-2-5"
"Marlene","Thai","F",1,1,0,"2017-11-13"
"Nicholas","American Curl","F",1,0,1,"2017-11-30"
"Rodolfo","Pixie-bob","F",0,1,0,"2017-11-21"
"Arnoldo","Korat","U",1,0,0,"2017-8-16"
"Rosalinda","York Chocolate","M",0,0,0,"2017-12-14"
"Lucile","Birman","M",0,1,1,"2017-8-30"
"Nayeli","Chartreux","M",0,1,0,"2017-10-18"
"Dusty","Siberian","M",0,0,1,"2017-12-22"
"Jazlyn","Pixie-bob","U",1,0,1,"2017-8-18"
"Kasey","German Rex","U",1,0,1,"2017-10-29"
"Shanelle","Cymric","F",1,0,0,"2018-1-7"
"Reymundo","Highlander","M",0,0,1,"2017-9-2"
"Koby","Exotic Shorthair","U",0,0,1,"2018-1-22"
"Carli","Savannah","F",1,1,0,"2017-9-30"
"Jonas","Turkish Van","M",1,1,0,"2017-8-9"
"Kieran","Cyprus","M",0,1,0,"2018-6-27"
"Chris","Cheetoh","F",1,1,1,"2017-9-13"
"Brain","Toyger","U",1,0,0,"2017-7-29"
"Juwan","Highlander","M",1,1,1,"2018-7-15"
"Linnea","Arabian Mau","F",0,1,1,"2017-12-16"
"Rasheed","Somali","M",1,1,1,"2017-11-17"
"Lou","Aphrodite Giant","F",0,0,1,"2017-8-24"
"Ethan","Oriental Bicolor","F",0,1,1,"2018-4-30"
"Kayden","Chantilly-Tiffany","M",0,0,0,"2017-8-2"
"Kiara","European Shorthair","M",1,1,0,"2017-12-16"
"Durward","Korn Ja","F",0,1,1,"2017-10-24"
"Gayle","Cyprus","F",1,0,1,"2018-1-14"
"Grayce","British Semi-longhair","M",1,1,1,"2017-10-6"
"Randi","Devon Rex","U",1,1,0,"2017-12-5"
"Willa","Suphalak","U",1,1,0,"2018-5-22"
"Jesse","Himalayan","M",0,1,1,"2017-8-7"
"Joannie","Chantilly-Tiffany","M",1,1,0,"2018-7-8"
"Maverick","Snowshoe","U",0,0,1,"2018-1-8"
"Vicente","Ukrainian Levkoy","M",1,0,0,"2018-4-17"
"Rowena","Cheetoh","U",1,1,0,"2018-5-23"
"Alan","Aphrodite Giant","M",1,0,1,"2018-2-2"
"Olen","Cymric","U",1,0,0,"2017-9-13"
"Bonnie","Lykoi","U",0,0,0,"2018-2-23"
"Taya","Brazilian Shorthair","M",0,1,1,"2018-6-20"
"Kacie","American Bobtail","U",1,1,1,"2018-6-27"
"Roscoe","Cornish Rex","U",0,1,1,"2017-8-2"
"Mireya","Karelian Bobtail","F",1,0,1,"2017-12-4"
"Matteo","Nebelung","U",1,1,1,"2018-4-12"
"Cornelius","Raas","U",0,1,0,"2018-1-31"
"Juana","Exotic Shorthair","F",0,0,0,"2018-6-1"
"Virgil","Turkish Angora","M",0,1,1,"2017-8-2"
"Eino","Arabian Mau","F",0,1,1,"2017-8-18"
"Raegan","Abyssinian","U",0,0,0,"2017-8-9"
"Tyreek","Serengeti","U",1,1,0,"2017-9-5"
"Karine","Napoleon","U",1,1,1,"2018-6-19"
"Eliseo","Sam Sawet","M",0,0,1,"2018-6-17"
"Zelma","Highlander","M",1,1,0,"2017-8-6"
"Consuelo","Himalayan","M",1,1,1,"2017-9-18"
"Libbie","Russian Blue","M",0,0,1,"2017-9-17"
"Kelsie","Kurilian Bobtail","F",0,1,0,"2017-10-15"
"Jacey","Scottish Fold","M",1,1,1,"2017-12-16"
"Carleton","Oriental Shorthair","U",1,1,1,"2018-6-22"
"Dayna","Donskoy","F",1,0,0,"2018-5-7"
"Vergie","Thai","U",0,0,0,"2018-7-27"
"Hallie","Napoleon","U",1,0,0,"2017-9-5"
"Conrad","Savannah","U",1,0,1,"2017-8-12"
"Jammie","Himalayan","U",0,1,0,"2018-5-19"
"Fannie","Siberian","F",0,0,0,"2017-12-19"
"Karen","California Spangled","U",1,0,0,"2018-2-3"
"Hank","Russian White","F",1,1,0,"2017-9-11"
"Mauricio","Suphalak","U",0,1,0,"2018-7-18"
"Jeromy","Raas","M",0,1,1,"2017-9-10"
"Claire","European Shorthair","U",1,1,0,"2017-12-11"
"Deondre","Cornish Rex","M",1,1,1,"2018-6-19"
"Stacy","Sam Sawet","F",1,0,0,"2017-12-1"
"Jazmin","Munchkin","M",0,0,1,"2018-6-3"
"German","Burmese","F",1,0,0,"2017-10-14"
"Priscilla","Colorpoint Shorthair","F",1,0,1,"2018-2-9"
"Mozelle","Turkish Van","M",0,1,0,"2018-5-7"
"Russel","Karelian Bobtail","U",0,0,1,"2018-1-19"
"Maximilian","Khao Manee","M",0,0,1,"2017-9-19"
"Quentin","Dragon Li","M",0,1,0,"2018-1-10"
"Milton","Minskin","F",0,0,0,"2017-12-8"
"Maureen","Minskin","F",0,1,0,"2018-6-13"
"Jaquelin","German Rex","M",0,1,0,"2017-9-11"
"Zack","Havana Brown","F",0,0,0,"2018-2-19"
"Kenyon","Manx","U",1,1,1,"2017-9-17"
"Mateo","Oriental Bicolor","M",1,1,0,"2018-6-18"
"Deven","Peterbald","U",1,1,1,"2018-3-17"
"Gideon","Sam Sawet","F",1,0,1,"2018-6-25"
"Loy","Korn Ja","U",1,1,1,"2017-8-10"
"Casper","Colorpoint Shorthair","M",1,1,1,"2018-5-12"
"Harrison","Serengeti","U",0,1,0,"2018-1-12"
"Lacey","Javanese","U",0,0,1,"2018-5-11"
"Lila","Cyprus","M",1,0,0,"2018-5-4"
"Dorris","Abyssinian","U",1,1,0,"2018-1-28"
"Hector","Siamese ","F",0,0,1,"2017-12-19"
"Bridget","Bengal","U",1,0,1,"2017-8-16"
"Dawson","Balinese","U",1,1,0,"2017-11-7"
"Eudora","Mekong Bobtail","U",0,1,1,"2017-9-10"
"Libbie","Ragamuffin","F",0,1,0,"2017-10-31"
"Irving","Karelian Bobtail","F",1,1,1,"2018-5-20"
"Retta","Napoleon","M",1,1,0,"2018-4-27"
"Shayna","Bengal","F",1,0,1,"2018-1-21"
"Aliza","California Spangled","U",0,1,0,"2017-10-7"
"Arlie","Savannah","F",0,0,1,"2018-6-11"
"Thad","Foldex[5]","U",1,0,1,"2018-1-8"
"Kolby","Bengal","M",1,0,1,"2018-1-27"
"Xavier","Colorpoint Shorthair","F",0,1,1,"2018-2-15"
"Wallace","Chantilly-Tiffany","M",1,0,0,"2017-9-20"
"Eulalia","Oriental Longhair","F",1,1,1,"2018-2-5"
"Caden","Cheetoh","F",1,1,0,"2018-4-12"
"Breanne","Devon Rex","F",1,0,0,"2018-1-22"
"Sheila","Asian","M",0,1,0,"2018-5-1"
"Effie","Oriental Longhair","U",1,0,1,"2017-12-10"
"Ahmad","LaPerm","F",1,1,0,"2018-5-31"
"Flo","Ragamuffin","F",1,0,0,"2017-8-22"
"Elwyn","Japanese Bobtail","M",1,1,0,"2018-2-21"
"Garnett","Burmese","F",1,1,0,"2017-11-23"
"Madilyn","Havana Brown","U",1,0,0,"2018-4-26"
"Clementina","Cymric","F",1,1,0,"2017-11-11"
"Noemy","Burmese","F",0,0,1,"2017-12-14"
"Fannie","Dwelf","M",0,1,0,"2018-4-6"
"Elias","Dragon Li","F",1,1,0,"2018-5-19"
"Leanne","California Spangled","U",1,1,1,"2017-11-25"
"Brenda","Javanese","U",0,1,0,"2018-5-16"
"Jaiden","Manx","M",1,1,1,"2017-8-13"
"Gretchen","Oriental Bicolor","F",1,0,1,"2018-5-7"
"Toy","Norwegian Forest cat","U",1,0,0,"2017-8-1"
"Forest","Singapura","F",0,0,1,"2018-7-3"
"Dereck","Pixie-bob","U",0,1,0,"2017-11-27"
"Missouri","York Chocolate","U",1,0,0,"2017-9-14"
"Elliott","Maine Coon","M",1,1,1,"2018-4-18"
"Dion","Minskin","F",1,0,1,"2018-5-16"
"Kobe","Cyprus","F",1,0,1,"2018-6-25"
"Conrad","Karelian Bobtail","F",1,1,1,"2018-1-3"
"Tomasa","British Longhair","M",0,1,0,"2017-11-2"
"Samson","Korean Bobtail","F",1,0,1,"2018-7-6"
"Mariah","Oriental Longhair","F",0,0,0,"2017-8-28"
"Erick","Pixie-bob","M",1,0,0,"2018-4-14"
"Providenci","Dragon Li","M",0,0,0,"2017-12-7"
"Vidal","Burmese","F",1,1,0,"2017-12-28"
"Arne","Japanese Bobtail","M",0,1,1,"2018-1-24"
"Katherine","Exotic Shorthair","U",0,0,1,"2017-8-19"
"Iliana","Serrade petit","U",0,0,1,"2017-10-5"
"Dora","Dragon Li","F",1,0,1,"2018-3-2"
"Cloyd","Egyptian Mau","M",0,1,1,"2017-8-2"
"Lysanne","American Shorthair","F",0,0,1,"2017-9-28"
"Zachary","Dwelf","U",1,1,1,"2017-11-14"
"Terrence","Khao Manee","F",0,1,0,"2017-8-21"
"Estevan","Asian","F",0,1,1,"2018-4-10"
"Kasey","American Curl","U",1,1,0,"2018-6-19"
"Kyra","British Longhair","F",0,1,0,"2018-3-11"
"Theodore","Bombay","F",0,0,0,"2018-7-4"
"Rasheed","Ocicat","F",1,1,1,"2018-1-11"
"Martine","Chartreux","M",1,1,0,"2018-7-1"
"Newell","Somali","M",0,1,0,"2018-4-10"
"Coralie","Ocicat","U",1,1,1,"2018-6-24"
"Neil","Munchkin","M",0,0,0,"2017-12-15"
"Deshaun","British Shorthair","U",0,1,0,"2018-6-30"
"Dock","Mekong Bobtail","U",0,1,1,"2017-12-23"
"Carlos","Sphynx","M",1,1,1,"2017-8-24"
"Ernesto","Siberian","U",0,1,1,"2017-10-12"
"Philip","Korat","F",0,1,1,"2017-9-19"
"Marco","Persian (traditional)","M",1,1,0,"2017-11-8"
"Angelica","Peterbald","F",1,0,0,"2017-11-2"
"Trenton","Aphrodite Giant","F",0,0,1,"2017-11-3"
"Laverna","Donskoy","M",1,0,0,"2017-12-8"
"Chesley","Ojos Azules","M",0,0,0,"2018-6-21"
"Prince","Korn Ja","U",1,0,1,"2018-6-17"
"Grayson","California Spangled","M",0,1,0,"2018-5-8"
"Beulah","Thai Lilac","F",0,0,1,"2017-12-12"
"Keven","Oriental Longhair","M",0,0,0,"2018-2-8"
"Ron","Abyssinian","M",0,1,0,"2018-1-13"
"Molly","Khao Manee","U",1,1,0,"2017-8-16"
"Brandon","Burmese","M",0,1,0,"2017-8-22"
"Branson","British Shorthair","U",1,1,1,"2018-7-26"
"Dejuan","Kurilian Bobtail","U",1,0,1,"2018-6-16"
"Edythe","Dwelf","U",1,0,0,"2018-3-4"
"Manuela","Burmese","F",1,0,1,"2018-3-27"
"Myrl","Tonkinese","M",0,1,1,"2018-6-15"
"Martina","Ukrainian Levkoy","U",0,1,0,"2017-7-30"
"Brigitte","Ojos Azules","M",0,0,1,"2018-1-31"
"Darius","Thai","U",0,1,1,"2018-4-22"
"Estelle","Aphrodite Giant","M",1,0,0,"2017-9-29"
"Zion","German Rex","U",0,0,1,"2018-1-31"
"Dexter","Turkish Angora","M",0,1,0,"2018-3-22"
"Leon","Korat","M",1,1,0,"2018-2-23"
"Jesse","Raas","M",1,0,1,"2017-8-24"
"Savannah","Singapura","M",1,1,0,"2018-3-5"
"Verna","Havana Brown","F",1,0,0,"2017-8-14"
"Osbaldo","Ukrainian Levkoy","F",1,0,1,"2017-11-30"
"Buster","Bombay","M",0,0,1,"2018-2-21"
"Harmony","Savannah","M",0,0,0,"2017-10-14"
"Alexandrea","Australian Mist","M",0,1,0,"2017-8-27"
"Ike","Serrade petit","F",1,1,1,"2018-6-17"
"Rosario","American Shorthair","F",1,0,0,"2017-8-21"
"Pierre","Australian Mist","U",0,1,1,"2018-2-12"
"Percy","Brazilian Shorthair","M",1,0,0,"2017-10-26"
"Lauretta","Chantilly-Tiffany","U",1,0,1,"2018-7-5"
"Ofelia","Dragon Li","F",1,0,0,"2017-11-27"
"Sterling","Oriental Bicolor","F",1,0,0,"2018-3-1"
"Karson","Turkish Angora","M",0,0,1,"2018-7-19"
"Alessandra","Kurilian Bobtail","F",1,0,0,"2018-3-31"
"Edythe","Colorpoint Shorthair","U",1,0,0,"2018-1-13"
"Nova","Oriental Bicolor","M",1,0,0,"2017-10-9"
"Yolanda","Selkirk Rex","F",0,0,1,"2018-6-20"
"Alvera","Oriental Bicolor","F",1,1,1,"2017-11-27"
"Sim","Savannah","M",1,0,1,"2017-11-10"
"Dulce","Toyger","U",1,1,1,"2018-1-14"
"Zackery","Singapura","U",1,1,0,"2018-1-11"
"Bethel","British Semi-longhair","M",0,1,1,"2017-9-1"
"Marshall","Serrade petit","F",0,1,0,"2017-12-5"
"Kirstin","Cornish Rex","M",0,0,1,"2017-10-3"
"Ignatius","Karelian Bobtail","M",1,1,1,"2018-2-8"
"Tyrell","Foldex[5]","U",1,0,1,"2017-12-21"
"Gust","Devon Rex","M",1,0,1,"2018-5-15"
"Amir","Korn Ja","U",0,0,1,"2017-10-6"
"Franz","LaPerm","F",1,1,0,"2017-12-14"
"Timmy","Peterbald","M",0,0,0,"2018-3-30"
"Idella","Thai Lilac","F",1,1,0,"2018-4-20"
"Salvador","Russian Blue","F",1,0,1,"2017-12-13"
"Lenore","Singapura","M",0,0,1,"2018-7-26"
"Lyda","Somali","F",0,1,1,"2018-1-25"
"Theodora","Sphynx","F",0,0,0,"2018-6-2"
"Isabelle","Dwelf","F",1,0,0,"2018-6-11"
"Frederique","Karelian Bobtail","M",1,1,1,"2018-5-4"
"Wilhelm","Brazilian Shorthair","U",0,1,0,"2018-6-2"
"Lysanne","Siberian","M",1,0,1,"2018-1-31"
"Elta","Turkish Angora","M",1,1,0,"2018-7-6"
"Armani","Selkirk Rex","U",0,0,1,"2017-9-24"
